method,length_bin,avg_length,n_samples,accuracy,f1
AA-KEA (Our Method),"(0, 40]",31.96759259259259,108,0.6111111111111112,0.676923076923077
BERTScore,"(0, 40]",31.96759259259259,108,0.5462962962962963,0.6423357664233577
sentence-t5-base,"(0, 40]",31.96759259259259,108,0.8055555555555556,0.7407407407407407
ROUGE-L,"(0, 40]",31.96759259259259,108,0.8148148148148148,0.7959183673469388
AA-KEA (Our Method),"(40, 60]",49.58659217877095,179,0.7821229050279329,0.8020304568527918
BERTScore,"(40, 60]",49.58659217877095,179,0.6424581005586593,0.7090909090909091
sentence-t5-base,"(40, 60]",49.58659217877095,179,0.7430167597765364,0.7526881720430108
ROUGE-L,"(40, 60]",49.58659217877095,179,0.7206703910614525,0.7422680412371134
AA-KEA (Our Method),"(60, 80]",67.87790697674419,86,0.9069767441860465,0.9322033898305084
BERTScore,"(60, 80]",67.87790697674419,86,0.8255813953488372,0.88
sentence-t5-base,"(60, 80]",67.87790697674419,86,0.8488372093023255,0.896
ROUGE-L,"(60, 80]",67.87790697674419,86,0.8255813953488372,0.8717948717948718
AA-KEA (Our Method),"(80, 100]",86.80434782608695,23,1.0,1.0
BERTScore,"(80, 100]",86.80434782608695,23,0.8260869565217391,0.8666666666666667
sentence-t5-base,"(80, 100]",86.80434782608695,23,0.8695652173913043,0.896551724137931
ROUGE-L,"(80, 100]",86.80434782608695,23,0.782608695652174,0.8275862068965517
AA-KEA (Our Method),"(100, 150]",105.625,4,0.75,0.8
BERTScore,"(100, 150]",105.625,4,0.75,0.8
sentence-t5-base,"(100, 150]",105.625,4,0.25,0.0
ROUGE-L,"(100, 150]",105.625,4,0.5,0.5
