pair_id,snea_bert_similarity
0,0.9999999555304931
2,0.7963133198045584
3,0.9999999694712574
4,0.9519013752891522
5,0.8307277113053324
6,0.9999999569159974
7,0.8957580642563552
8,0.99999999915895
9,0.8290641723561052
10,0.4840315381552685
11,0.9999999991251604
12,0.8242845717054872
13,0.4052115871434442
14,0.473489730951761
15,0.9968603918503594
16,0.999477615950972
17,0.9999999992144966
18,0.9993420360773831
19,0.9975096445071456
20,0.9347471042203233
21,0.3594647459528424
22,1.0
23,0.9988626651762308
24,0.7163719632269325
25,1.0
26,0.7218127860597432
27,0.9999999606470478
28,0.9999999989967584
29,0.5082489230717822
30,1.0
31,0.7733684177181784
32,0.999999999056664
33,0.6658037214649484
34,0.9999999990418932
35,0.9332069193961632
36,0.5170406134610226
37,0.9999999547399824
38,0.652564624740805
39,0.6737807320607996
40,1.0
41,0.9527177508056888
42,0.6314186353118052
43,0.9177645732930828
44,0.9151099365547012
45,0.9999999991790578
46,0.7363043625682067
47,0.6040575493399797
48,0.4208903596701497
49,0.7148165109833009
50,0.8853845216548981
52,0.9974103486777128
53,0.6057043755137825
54,0.999999999224177
55,0.9594691926112836
56,0.9999999990000497
57,0.8827623823728143
58,0.5880387508833373
59,0.9550634057544076
60,0.9959126955821312
61,0.9999999569248952
62,0.9999999989817594
63,0.5337106799550118
64,0.9472200902306004
65,0.9394416535537043
66,0.9999999586752804
67,1.0
68,0.9999999532486504
69,0.6092608460800648
70,0.9999999989852196
71,0.8932909566410843
72,0.7333858214769751
73,0.9142404850364336
74,0.9967375627358124
75,0.9999999533392654
76,0.9999999991056336
77,0.9955279651759562
78,0.7234475334052567
79,1.0
80,0.9985396212594932
81,0.651832890279571
82,0.9999999992796792
83,0.9958053570531438
84,0.9999999992325628
85,0.605785890467043
86,0.9999999990176254
87,0.999999999066972
88,0.7551434589551773
89,0.6799474733363674
90,0.9996909877082536
91,0.9999999990398194
92,0.9985813047664832
93,0.999925823577487
94,0.9113486536818513
95,0.9999999991959966
96,1.0
97,0.9067453022024528
98,0.9999999516135096
99,0.7527078039588372
101,0.6348096688135152
104,0.2769199945373395
105,0.6645129001322008
106,0.96453902512078
107,0.4951801085694228
108,0.9999999664358858
109,0.9998126606805706
110,0.5038492402032791
111,0.9999999991055654
112,0.9999999991046404
113,0.9999999990214828
114,0.9999999990528912
115,0.9982906367815428
116,0.5360841736287638
117,0.999816977204265
118,1.0
119,1.0
1,0.99999995330181
51,0.999999999056422
100,0.9968696283905052
102,0.7745614183700511
103,0.7416903187946327
120,0.9177081573814966
121,0.9988705388927432
122,0.923517679619614
123,0.9999999990907722
124,0.6113324224436052
125,0.749704997831282
126,0.9999999744697942
127,0.99999995466045
128,0.9080862060079083
129,0.9999999991826536
130,0.9999999636707346
131,0.6366055728631546
132,0.9883123319561744
133,0.8979429720801806
134,0.9432736109025026
135,0.5206735678859333
138,1.0
140,0.950784930529289
141,0.7839390414188834
142,0.9999999563370828
143,0.5028067983586235
144,0.7905857748163326
145,1.0
146,0.7329800777544314
147,0.8977733236831353
148,0.6639968659890927
137,1.0
139,0.99918358831664
149,0.999970508833522
150,0.5389888103096194
151,0.9341381304779892
152,0.9999999990245014
153,0.5179491153838656
154,0.6863682338075265
155,0.9983383235785706
156,0.4570099484684989
157,0.9547646639503782
158,0.9999999990480698
159,0.9999999989068706
160,1.0
161,0.9999999989926736
162,0.9999999992335687
163,0.7351248220324327
164,1.0
